feature,coef,std_err,odds_ratio,ci_low,ci_high,z,significant
cat__category_salon,-0.6790216578308402,0.2840237451074212,0.5071128796670095,0.2906288666167188,0.8848517895619568,-2.3907214432864623,True
cat__acquisition_channel_self_serve,0.6139100624972821,0.14124466249657355,1.8476416877267738,1.4008378529493308,2.436955711211296,4.346430170500601,True
num__tenure_months,-0.36522789948767603,0.05911986557374868,0.694038461843182,0.6181013513564036,0.7793048590827346,-6.1777525361940295,True
cat__device_type_qr_static,0.35369285980299386,0.25406574314036007,1.4243176540865596,0.8656487988291698,2.3435379133968945,1.3921312469410496,False
num__competitor_density,0.3333781976660701,0.13841929472389825,1.3956750397108713,1.064043613283223,1.8306663299838402,2.408466235368789,True
cat__city_tier_tier_3,0.3267647900108082,0.3449693524989428,1.3864753259783573,0.70512855809432,2.726189157253873,0.9472284643367258,False
cat__category_restaurant,-0.32109462328274363,0.2398178296182206,0.7253546123082139,0.4533288089014254,1.1606130103926533,-1.3389105547069295,False
cat__category_pharmacy,-0.3181902451576775,0.2754056336525758,0.7274643786736958,0.4240154918155918,1.2480780359536066,-1.1553512574803553,False
num__avg_monthly_txns,-0.3086255796170188,0.17900457723411714,0.7344557137404074,0.5171229848736428,1.0431274788099738,-1.72412116151294,False
cat__acquisition_channel_partner_bank,0.30464951697227965,0.18245544502020128,1.3561496122807462,0.9484149559340792,1.939174155133262,1.6697200620049961,False
num__p90_gap_days,0.2936402662662716,0.07409061322948556,1.3413013055420655,1.1600030846972211,1.5509348345555822,3.963258683752029,True
num__success_rate_3m_at_cutoff,-0.27357294952872474,0.06191036435790627,0.7606568447734989,0.6737357793685951,0.8587919080726575,-4.418855426971624,True
cat__category_fuel,-0.27231456094170853,0.2978216220171984,0.7616146491842736,0.4248390277264701,1.3653568434055219,-0.9143545693468256,False
cat__category_kirana,-0.26923820513468333,0.25211571455637194,0.763961254478737,0.46608604980699353,1.2522082533609618,-1.0679152055572596,False
cat__category_grocery,-0.24875501676674328,0.24494108676145865,0.7797709808030145,0.482468547517912,1.2602744482114063,-1.0155708054361614,False
num__avg_monthly_tpv,0.239167690324102,0.15315914445444048,1.2701915175531637,0.9408004412646312,1.7149083062666108,1.5615632430961122,False
num__avg_active_days,-0.22915350405858118,0.09712840089467425,0.7952064567171764,0.6573588795617715,0.9619605491999212,-2.35928422529137,True
cat__device_type_soundbox,0.19854627955144039,0.2578420526822202,1.2196284699666868,0.7357799810716449,2.021655444589271,0.7700306349800146,False
cat__category_electronics,0.13290008011060378,0.5400346206491922,1.1421358705393112,0.39630634181134744,3.2915808028970566,0.2460954817134511,False
num__degraded_issuer_exposure,0.11656179006926928,0.06136636328843033,1.1236269373085264,0.9962906148536421,1.2672381686851577,1.8994410589627557,False
cat__acquisition_channel_referral,-0.10773273761917893,0.1691138314380077,0.8978675305802054,0.6445545330428555,1.2507337411225614,-0.6370427344889922,False
num__avg_settlement_delay_days,0.09827458473592016,0.05425009435790417,1.1032656834373122,0.9919767591920085,1.227040005697147,1.8115099319011907,False
cat__category_services,-0.09543720643771203,0.25461512274143394,0.9089754376674127,0.5518478818670836,1.4972175728703248,-0.3748292929742047,False
cat__city_tier_tier_2,0.08215315949965839,0.2151619059809488,1.085622070430154,0.712080596800522,1.6551150039764575,0.38182018849996857,False
num__avg_ticket_inr,-0.06884507104885991,0.12426799827277249,0.9334712906037068,0.7316812229374845,1.1909129591751195,-0.5540048283206641,False
num__tickets_payment_failure,0.06617196698801714,0.06549969810292958,1.0684104326931139,0.9396879364901736,1.2147658902072367,1.0102636944071273,False
num__sr_trend,0.06271843344628415,0.0639024360370488,1.0647270055081233,0.9393845603390963,1.2067939416090419,0.9814717143165216,False
num__tpv_cv,0.032873328044406576,0.07320769796734425,1.0334196256650094,0.895284476859529,1.192867909936041,0.44904195811580333,False
cat__device_type_qr_dynamic,0.027173440061187274,0.28761537680221266,1.027546004951315,0.5847606279551388,1.8056119749095176,0.09447839807213751,False
num__tickets_unresolved,0.009428634993595674,0.06942492294661369,1.0094732246020515,0.8810470810735248,1.1566194509682777,0.13581052154492265,False
